scheme,pressures,num_pressures,arch_folder,config_tag,num_seeds,num_models,num_trained,num_reused,mean_test_mse_scaled,std_test_mse_scaled,mean_test_rmse_scaled,mean_test_rmse_log10,mean_relative_error_percent,std_relative_error_percent,max_relative_error_percent,mean_best_val_loss,mean_epochs_ran,total_current_run_training_time_s,mean_cached_training_time_s
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_c3f69f27edd8a282,1,1,1,0,0.47479087114334106,,0.6890507028828438,0.17750115112654644,33.66365884403941,,391.3197539913074,0.5101747512817383,1333.0,9.171241283416748,9.171241283416748
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_cbf5ac926d4ab767,1,1,1,0,0.5126497149467468,,0.7159956109828794,0.18199306156919598,36.96405386840715,,213.3345726272739,0.5791281461715698,1680.0,10.880923509597778,10.880923509597778
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_d1abff7f3857a722,1,1,1,0,0.5951940417289734,,0.7714881993452481,0.19353082022916074,41.18465148258159,,558.7059642978418,0.49125540256500244,3834.0,25.950421810150146,25.950421810150146
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_d9959e02aa671434,1,1,1,0,0.42223846912384033,,0.6497987912606796,0.16780023802125502,31.787396455187523,,364.2240024413731,0.4333925247192383,1337.0,9.487276077270508,9.487276077270508
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_e0e16861ce909a3d,1,1,1,0,0.5176437497138977,,0.7194746345173663,0.18405377112083462,35.20409395980323,,386.8628325823401,0.5123438239097595,1109.0,7.468853235244751,7.468853235244751
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_ed23e0d10eeb2cea,1,1,1,0,0.42752864956855774,,0.6538567500367016,0.16838245526927612,30.76502913217287,,185.96220375415444,0.44477176666259766,2031.0,13.791975498199463,13.791975498199463
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_fb2e40d3f02d3ca0,1,1,1,0,0.4493439495563507,,0.6703312237665426,0.17135619201255034,29.744035958690297,,369.73005010253763,0.44163206219673157,3674.0,24.12765097618103,24.12765097618103
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_0009b9c38b245d22,1,1,1,0,0.4128209352493286,,0.6425114281079587,0.16603734555814614,30.22955115818978,,303.8576562682407,0.36271950602531433,3932.0,29.607951879501343,29.607951879501343
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_182f06b7316d3a8e,1,1,1,0,0.5530526041984558,,0.7436750662745496,0.18469605597850036,33.2794134172247,,381.5695190415494,0.4369584918022156,3945.0,30.680564403533936,30.680564403533936
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_22c4631de934c20f,1,1,1,0,0.5375674962997437,,0.7331899455800956,0.18498060140967354,36.13363350411153,,329.25720953812623,0.49697908759117126,3197.0,26.309833765029907,26.309833765029907
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_2a62784eaf036658,1,1,1,0,0.45700666308403015,,0.6760226794154396,0.17374858061585238,32.597638793227105,,179.52830806717358,0.5137994289398193,1537.0,11.77607250213623,11.77607250213623
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_2a69c78945233ae6,1,1,1,0,0.5814789533615112,,0.762547672845122,0.19305600584794066,40.035191123398526,,339.09296655483206,0.4264569580554962,1812.0,13.57249641418457,13.57249641418457
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_3b98b2e791a82bc4,1,1,1,0,0.5694880485534668,,0.7546443192348743,0.18926247064382354,38.64826229231596,,438.5476609560475,0.6083133220672607,973.0,7.18581485748291,7.18581485748291
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_3da28486892406a3,1,1,1,0,0.5459171533584595,,0.7388620665309997,0.18632736784726167,39.59512368371149,,223.09523014259273,0.6019084453582764,465.0,3.4627959728240967,3.4627959728240967
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_40896b49f8e5dd80,1,1,1,0,0.5459675788879395,,0.7388961895205168,0.1861530147243573,35.93652128584875,,275.4419259814157,0.4970741868019104,2134.0,15.840556859970093,15.840556859970093
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_40f6950635671e2b,1,1,1,0,0.5900781154632568,,0.7681654219393482,0.19256712541104326,40.639540834360716,,419.77768719138203,0.5360190272331238,1847.0,13.56216049194336,13.56216049194336
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_45e1d4d151340436,1,1,1,0,0.3622397482395172,,0.6018635628109723,0.153733205004313,27.357660801555056,,188.21430631411647,0.44418734312057495,4159.0,30.34727644920349,30.34727644920349
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_5eeeb8a900e9c212,1,1,1,0,0.41766297817230225,,0.6462685031566232,0.16717406586210304,32.12123802009116,,381.28266183843726,0.41059809923171997,1305.0,9.695504665374756,9.695504665374756
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_6a26d8bcaa81d559,1,1,1,0,0.4005693793296814,,0.6329055058456052,0.16014192707585378,31.264397689979848,,216.33014913264535,0.4668922424316406,3424.0,24.797853231430054,24.797853231430054
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_6c88c40c171fe3b7,1,1,1,0,0.41165682673454285,,0.6416048836585823,0.16335010912262082,29.69866825352493,,219.1698021555657,0.41480669379234314,3311.0,24.72910165786743,24.72910165786743
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_79a3bbf2c2d21bb5,1,1,1,0,0.38130810856819153,,0.6175015049116815,0.15827161557286776,28.139628921849187,,315.3478122477677,0.5375664234161377,1258.0,9.256117820739746,9.256117820739746
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_87a884b190f68a18,1,1,1,0,0.40466439723968506,,0.636132373991204,0.15947887053169105,28.442283637407247,,389.26810179224105,0.4374656081199646,4244.0,32.767680168151855,32.767680168151855
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_89b1c117ac10dde3,1,1,1,0,0.5127748847007751,,0.7160830152299209,0.18055200737423244,35.17583350948675,,353.7297475579491,0.4887530505657196,1499.0,11.514146089553833,11.514146089553833
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_952499857d786197,1,1,1,0,0.5931612253189087,,0.770169608150639,0.18782900110999914,39.390985845028204,,439.16761233998847,0.5711420774459839,944.0,6.954975843429565,6.954975843429565
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_9b88c0c8c315e85a,1,1,1,0,0.4868425130844116,,0.6977410071684275,0.1784083248014883,32.583698752024105,,309.8829491947763,0.49407458305358887,2027.0,14.911482572555542,14.911482572555542
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_a54c456c0e4f3e9e,1,1,1,0,0.42859381437301636,,0.6546707679230961,0.16849807778715123,31.066417257883018,,347.5584318347191,0.5015029311180115,1682.0,12.638213634490967,12.638213634490967
O2_simple_9K,"1,2,5,10",4,arch_50_50,cfg_c1daa334a08f61da,1,1,1,0,0.5361056923866272,,0.7321923875503126,0.18394188082962237,36.37259912735845,,339.54234392292204,0.49480512738227844,674.0,5.02632474899292,5.02632474899292
