experiment_folder,run_timestamp,hidden_size_label,hidden_size_tuple,num_species_kept,source_mode,test_mse,test_mse_std,test_rmse,test_rmse_std,test_mse_unscaled,test_mse_unscaled_std,test_rmse_unscaled,test_rmse_unscaled_std,training_time_s,training_time_s_std,epochs_ran,epochs_ran_std,best_val_loss,best_val_loss_std,mean_rel_error_k1,mean_rel_error_k1_std,mean_rel_error_k2,mean_rel_error_k2_std,mean_rel_error_k3,mean_rel_error_k3_std,max_rel_error_k1,max_rel_error_k1_std,max_rel_error_k2,max_rel_error_k2_std,max_rel_error_k3,max_rel_error_k3_std,arch_sort_key,mean_rel_error_avg,mean_rel_error_avg_std,baseline_num_species,baseline_test_mse,baseline_test_mse_std,mse_ratio_vs_baseline,mse_ratio_vs_baseline_std,relative_deterioration_test_mse_pct,relative_deterioration_test_mse_pct_std
2__O2(X)_O2(a),2026-04-17_19-31-37,"50, 50","(50, 50)",2,seed_aggregate,0.0153931832406669,7.210195276137349e-05,0.1240689441167686,0.0002908181148192,1.915140598208084e-41,1.3186077862224486e-43,4.376207264669718e-21,1.5077300219967318e-23,70.13500944375991,59.74672833563505,1001.55,801.8904292522238,0.0160996988266706,0.0010457932902575,0.2657113701105117,0.0036097689174458,0.0184228110127151,0.0007492384952001,0.1328315392136573,0.0021025028147347,0.6936304152011872,0.0327657376688834,0.1021783847361803,0.0120980231068873,0.3122768148779869,0.0059944736002883,"(2, 50, (50, 50))",0.13898857344562804,0.001414696985459543,11,3.85937473197373e-06,2.1339551294025338e-06,3988.517391985578,2205.4408114648054,398751.7391985578,220544.08114648054
3__O2(X)_O2(a)_O(3P),2026-04-17_19-31-37,"50, 50","(50, 50)",3,seed_aggregate,0.0111156137805664,0.0052968494142258,0.1010882557721612,0.0307242117025952,1.3273449378700749e-41,7.071146498312632e-42,3.457759236514912e-21,1.1775757617806277e-21,158.34466425180435,135.51640453772694,2610.7,2225.730680733385,0.0115292757514398,0.0055939194539774,0.2197662856429815,0.0633599988342604,0.0148743986850604,0.0046011684740809,0.1039617974311113,0.0373087138865575,0.5772618547081947,0.156157513443104,0.0806459927931428,0.025712621871907,0.2482106383889913,0.0791017723656168,"(2, 50, (50, 50))",0.11286749391971773,0.02455741647530303,11,3.85937473197373e-06,2.1339551294025338e-06,2880.159236281713,2102.325901285493,287915.9236281713,210232.5901285493
4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,"50, 50","(50, 50)",4,seed_aggregate,1.5741139804958948e-06,1.5003284903430209e-06,0.0011465970230505,0.000522573839887,1.1210387714598537e-45,5.7508075568297326e-46,2.994713704459715e-23,1.536255715734203e-23,206.9930811882019,54.84012028235637,3391.65,900.9547143827048,1.490161472077034e-06,1.3647314377318871e-06,0.0025925950496457,0.0015303554044068,0.0009038646705448,0.0003480256091395,0.0009659133473178,0.0002321883997299,0.0130379942478612,0.0073924205536129,0.004098232393153,0.0010739790422042,0.0035468693706206,0.0010475278186837,"(2, 50, (50, 50))",0.0014874576891694333,0.000528837397965591,11,3.85937473197373e-06,2.1339551294025338e-06,0.4078676184136372,0.44942822085187517,-59.21323815863629,44.942822085187515
5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,"50, 50","(50, 50)",5,seed_aggregate,3.4565065305969258e-06,2.292678100707409e-06,0.0017670603305344,0.0005929447643116,1.5414283107572992e-45,6.2667972459927104e-46,3.7888070925106217e-23,1.0559226064712557e-23,239.1309319257736,73.98240072348074,2931.25,898.7956781452788,2.8578809928490047e-06,1.6548650382757866e-06,0.0040158976684324,0.001466772001651,0.0013750432612141,0.000475955103476,0.0011770747252739,0.0002516204376012,0.020138642610982,0.0078383472473038,0.0058538100100122,0.0017964642688121,0.0047332662390545,0.0013344556603653,"(2, 50, (50, 50))",0.002189338551640133,0.0005208183955160005,11,3.85937473197373e-06,2.1339551294025338e-06,0.8956130903694929,0.7733904039529356,-10.438690963050712,77.33904039529355
6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),2026-04-17_19-31-37,"50, 50","(50, 50)",6,seed_aggregate,3.2381508603407383e-06,2.4224480226498752e-06,0.0016677689660378,0.0006933500188913,1.401298464324817e-45,4.5464125662225404e-46,3.633750713534149e-23,9.22719319322392e-24,239.3040591955185,70.52740764727783,3034.45,844.2094074838367,2.7270585331393703e-06,1.9220268082270318e-06,0.0037984404189046,0.0017908525003768,0.0011946629732847,0.0004513303581287,0.0011276635690592,0.0002523335413683,0.0182759613264352,0.0088604984687733,0.0060190297313965,0.0019068131203685,0.0043549393652938,0.0011126188382738,"(2, 50, (50, 50))",0.0020402556537494998,0.0006213358356864743,11,3.85937473197373e-06,2.1339551294025338e-06,0.8390350990054571,0.7805176916178792,-16.096490099454286,78.05176916178792
7__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),2026-04-17_19-31-37,"50, 50","(50, 50)",7,seed_aggregate,3.3657794574537542e-06,2.154274423495752e-06,0.0017433704437167,0.0005861910533071,1.471363387541058e-45,7.152476590329248e-46,3.601637485981889e-23,1.354074278838201e-23,219.72007511854173,79.61459338721974,2972.35,985.5745999696132,2.9382960921111588e-06,1.7550342590190256e-06,0.0040732791472692,0.0015546599414695,0.0013278291909955,0.0004117997365333,0.001115729814046,0.0002169978179624,0.0201756245922297,0.0077531511511372,0.005835808312986,0.0013942776393612,0.0039777119178324,0.0011369048790637,"(2, 50, (50, 50))",0.0021722793841035667,0.0005409492284267317,11,3.85937473197373e-06,2.1339551294025338e-06,0.8721048592584982,0.7376356496548307,-12.789514074150176,73.76356496548307
8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,"50, 50","(50, 50)",8,seed_aggregate,3.653782147239326e-06,1.9847391803373995e-06,0.0018357420433312,0.0005466003038738,1.7516230804060213e-45,6.2254317956125865e-46,4.1310330780158274e-23,6.888560405707686e-24,183.6009647488594,47.08492776165679,2893.8,718.3061654812808,3.1911275703464527e-06,1.780091177068166e-06,0.004197597753955,0.0014133985198032,0.0013849500101059,0.0004049306658903,0.0012594591156812,0.0002370111335353,0.0203336573438718,0.0071586727714112,0.0063243606127798,0.001549466111494,0.0050357056548818,0.0015947211811748,"(2, 50, (50, 50))",0.0022806689599140333,0.0004964136377144374,11,3.85937473197373e-06,2.1339551294025338e-06,0.9467290431708709,0.7338198531869411,-5.327095682912908,73.3819853186941
9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,"50, 50","(50, 50)",9,seed_aggregate,4.058044621046975e-06,1.9539641776762e-06,0.0019537154187499,0.0005037132471488,1.8216880036222626e-45,8.004785343102542e-46,4.0989198504635684e-23,1.220757355819627e-23,171.6976850748062,55.35537248376796,2684.6,838.9449138179768,3.610192380847366e-06,1.690050724811995e-06,0.0045052381872665,0.0013291852296921,0.0016570857464103,0.0004498083322507,0.0012662612774875,0.0002409707457037,0.0226496153045445,0.006603556388811,0.0075374246924184,0.0021722152356371,0.0044835432781837,0.0008424722637173,"(2, 50, (50, 50))",0.0024761950703881,0.0004745907957714489,11,3.85937473197373e-06,2.1339551294025338e-06,1.0514772217964028,0.7709379053633562,5.1477221796402794,77.09379053633562
10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,"50, 50","(50, 50)",10,seed_aggregate,3.8282064195982455e-06,2.3887901406165965e-06,0.001857814523451,0.0006297297800205,1.3312335411085763e-45,8.475127644909787e-46,3.227298272924425e-23,1.7462384441586634e-23,210.7202290892601,57.73000390167301,2975.75,796.1443848818802,3.2956232832930257e-06,1.8419589918319264e-06,0.0043660888157319,0.0016949763443168,0.0014422069740248,0.0004838141932165,0.0010401391627965,0.0003389433245927,0.022708837268874,0.0097292817161471,0.00645547285676,0.0024289075001541,0.004106877441518,0.0017821593457247,"(2, 50, (50, 50))",0.0022828116508510667,0.0005983220573345308,11,3.85937473197373e-06,2.1339551294025338e-06,0.9919239994714002,0.8269943173401164,-0.8076000528599803,82.69943173401164
11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,"50, 50","(50, 50)",11,seed_aggregate,3.85937473197373e-06,2.1339551294025338e-06,0.0018822931602363,0.0005770589597727,1.471363387541058e-45,5.5215988764941695e-46,3.711278903022385e-23,9.947455529676886e-24,194.9323652267456,64.47236066546893,2519.0,825.1167062587986,3.6208832329975847e-06,2.0151598294328902e-06,0.0045637393079232,0.0015618909591416,0.0013012140872888,0.0006589341005349,0.0011005117034073,0.0002708976408422,0.0232816397212445,0.008899202206953,0.0085344468941912,0.0044348969431077,0.0045120599679648,0.0017851129457392,"(2, 50, (50, 50))",0.0023218216995397663,0.0005722356788082137,11,3.85937473197373e-06,2.1339551294025338e-06,1.0,0.0,0.0,0.0
