architecture,seed,training_time_s,epochs_ran,best_val_loss,observed_species_count,repeats,test_mse,test_mse_within_subset_std,test_rmse,test_rmse_within_subset_std,test_mse_unscaled,test_mse_unscaled_within_subset_std,test_rmse_unscaled,test_rmse_unscaled_within_subset_std,mean_rel_error_avg,mean_rel_error_avg_within_subset_std,mean_rel_error_k1,mean_rel_error_k1_within_subset_std,mean_rel_error_k2,mean_rel_error_k2_within_subset_std,mean_rel_error_k3,mean_rel_error_k3_within_subset_std
"30, 30",41,140.47717881202698,1980,0.006858483627438545,9,50,0.0018191036226926371,0.0027422633238011864,0.03543620726695456,0.023735602735681142,1.8704812161500522e-42,2.986958997239668e-42,1.2017515104430344e-21,6.528970235021274e-22,0.0466111209243536,0.02645893130201148,0.0792994549125433,0.05421031765579213,0.020501030758023262,0.008769160352359627,0.040032876655459404,0.022551428970023372
"30, 30",41,140.47717881202698,1980,0.006858483627438545,10,50,0.0005795305548235774,0.0006702272255062969,0.022686142790714552,0.008054159180379257,8.73457358782945e-43,5.594443604500806e-43,9.09768522143909e-22,2.139593300116466e-22,0.03205473564565182,0.008336935469536913,0.04874918811023235,0.0175726254869754,0.017023506853729487,0.004694197261968679,0.030391514785587787,0.005855998999934546
"30, 30",41,140.47717881202698,1980,0.006858483627438545,11,1,0.00035534767084755003,0.0,0.01885066764991495,0.0,5.479076995510035e-43,0.0,7.402078759044675e-22,0.0,0.027771390974521637,0.0,0.042549554258584976,0.0,0.014786966145038605,0.0,0.025977646932005882,0.0
"30, 30",42,173.6890993118286,2436,0.0053811215143650774,3,50,0.016047419529641047,0.00789206179998738,0.1217209025082931,0.035091899666556264,2.1103218561100307e-41,1.8153168344163158e-41,4.070523866040418e-21,2.129331824093106e-21,0.1484176940470934,0.05197328724682478,0.2424550998955965,0.058633418548317905,0.07863014884293079,0.06817165595417263,0.12416783183813095,0.06439896432511048
"30, 30",42,173.6890993118286,2436,0.0053811215143650774,4,50,0.010652763189282268,0.006204738576603521,0.09691070288525515,0.03551167210324047,1.0039771003470871e-41,1.1594470571590615e-41,2.69160296022542e-21,1.6718386608691132e-21,0.1149028842151165,0.040481123395640896,0.20276411667466163,0.07193889858129231,0.05971933150663972,0.03735748183391006,0.08222520388662816,0.048097461632270834
"30, 30",42,173.6890993118286,2436,0.0053811215143650774,5,50,0.008751710821525194,0.006096259456377745,0.08582872968121955,0.03721746878595234,8.658763340909478e-42,9.992507408951146e-42,2.4827449977154695e-21,1.5794747915773422e-21,0.10076920229941606,0.03984558177617338,0.1794542010128498,0.07817729591314256,0.04811990918591619,0.031371617364072776,0.07473349943757057,0.04282525479524202
"30, 30",42,173.6890993118286,2436,0.0053811215143650774,6,50,0.005857635423308238,0.005665181571605661,0.0674309522609375,0.03620361999153409,6.127065431383117e-42,9.082204079142032e-42,2.003399899001434e-21,1.4537724292557493e-21,0.08085596844553948,0.03725445327602938,0.1438353390991688,0.07092512682144696,0.03815223341807723,0.019425740052738796,0.060580335780978205,0.03744771761110009
"30, 30",42,173.6890993118286,2436,0.0053811215143650774,7,50,0.004284420742769726,0.005263027165085717,0.05524492196204602,0.0351058305723874,4.667809262573825e-42,7.785353633059595e-42,1.724139391369683e-21,1.301980269321008e-21,0.0692061521485448,0.036099217165301796,0.11909259326756,0.07302624998001904,0.03486571349203586,0.012378946978163675,0.05366014752537012,0.03590983621685408
"30, 30",42,173.6890993118286,2436,0.0053811215143650774,8,50,0.0026697379187680783,0.003920980845108617,0.04368518722558638,0.027592432582748884,3.7412146660236833e-42,5.989386027631376e-42,1.6225265118449487e-21,1.0529113848676663e-21,0.05767948497086763,0.02895007245811719,0.08832635194063186,0.05735923618892405,0.032332079112529756,0.010390798177314154,0.05238002363592386,0.029463371184079327
"30, 30",42,173.6890993118286,2436,0.0053811215143650774,9,50,0.0017250635771779343,0.0025074716315812242,0.036218120408636235,0.020330059794389718,2.4218641358925813e-42,3.574828365387318e-42,1.3721419877223788e-21,7.342278266463762e-22,0.04994756191968918,0.02153577264398682,0.07347043186426162,0.044444872006654604,0.03228587355464697,0.008620617065359487,0.04408638142049313,0.020452360973469138
"30, 30",42,173.6890993118286,2436,0.0053811215143650774,10,50,0.0009623478271532803,0.0007816860941188672,0.029519469108675006,0.009536706490988528,1.8168114849664118e-42,9.277375295580144e-43,1.3119117088417087e-21,3.0935279725652945e-22,0.043414738103747366,0.010254256702788367,0.05492866665124893,0.022738253413354604,0.03195766184478998,0.007929799722854637,0.04335788127034903,0.010446545952027087
"30, 30",42,173.6890993118286,2436,0.0053811215143650774,11,1,0.0006734660710208118,0.0,0.02595122484625363,0.0,1.7810503481568425e-42,0.0,1.3345599829744792e-21,0.0,0.03918867185711861,0.0,0.04424455761909485,0.0,0.030680237337946892,0.0,0.04264121875166893,0.0
"30, 30",43,153.31924200057983,2156,0.005302260359749198,3,50,0.01529012803803198,0.008626501157681446,0.11639087970092801,0.04175273835901167,1.6669678375792304e-41,1.931749147294388e-41,3.437250135150802e-21,2.2034041581602982e-21,0.14291391231119632,0.05710766140408883,0.2309248487651348,0.07403394149446985,0.09386556971818209,0.06846891977125881,0.10395131707191467,0.06303685174475702
"30, 30",43,153.31924200057983,2156,0.005302260359749198,4,50,0.011751085604773835,0.006324571271502093,0.10285073276457943,0.03424634833909886,1.189492201442121e-41,1.2549591044677134e-41,2.958219530806291e-21,1.773093122759607e-21,0.11959311358630657,0.04019352610567994,0.21205494806170463,0.06385100482288286,0.058487566076219084,0.04051633012240769,0.08823682591319085,0.04879876431271527
"30, 30",43,153.31924200057983,2156,0.005302260359749198,5,50,0.008570389080559834,0.006149306080537438,0.08480343859069364,0.037131736880386915,8.427072652818012e-42,1.0052476663419368e-41,2.4190866937439464e-21,1.6047093883220708e-21,0.09744075343012809,0.03971122309327649,0.18003247186541557,0.06972002944881031,0.040519375968724486,0.02787188546270158,0.07177041310817003,0.043406729875176985
"30, 30",43,153.31924200057983,2156,0.005302260359749198,6,50,0.005103199900477193,0.004633661526363102,0.06386379569389752,0.03200961574348106,3.21738127408978e-42,5.1277723034018745e-42,1.5044044576570405e-21,9.768052527865551e-22,0.0753160646930337,0.03340354530457708,0.14222596049308778,0.06742115443821588,0.037040881607681514,0.020556950736869868,0.04668135281652212,0.027329636317960173
"30, 30",43,153.31924200057983,2156,0.005302260359749198,7,50,0.003286063747946173,0.0040893466931130225,0.04955568536097644,0.02881488844937767,3.0083075432125175e-42,5.41774472550376e-42,1.4015791135228314e-21,1.021706186606047e-21,0.059457303285598756,0.0290636172954618,0.10926952864974737,0.058142398942374496,0.025787399895489217,0.008135951793421678,0.043314981311559676,0.02758814639137026
"30, 30",43,153.31924200057983,2156,0.005302260359749198,8,50,0.002765228552161716,0.003640747529446775,0.04430700182525757,0.02832169029945669,2.106824215143076e-42,4.041723611596527e-42,1.1989699499361102e-21,8.181046841897904e-22,0.05483669951558113,0.029308720633355118,0.0984680875390768,0.05843759618058794,0.027932936064898967,0.015317533548070568,0.03810907285660505,0.022166089377880865
"30, 30",43,153.31924200057983,2156,0.005302260359749198,9,50,0.002267978540621698,0.003749880506191723,0.03881078431098321,0.027598941316435262,2.4105696702701233e-42,4.7530708159552126e-42,1.2265030748773392e-21,9.519768261814754e-22,0.04916318833827973,0.02716637153082358,0.08654972925782203,0.053494421078179887,0.02083892883732915,0.007366283097356548,0.040100905373692514,0.025813435159281046
"30, 30",43,153.31924200057983,2156,0.005302260359749198,10,50,0.000680021638981998,0.0008368247995052278,0.02384201440590333,0.010563142905910917,7.410626798735363e-43,7.786109781019351e-43,7.926301236278207e-22,3.3585736107949457e-22,0.03331768836826086,0.011561546895021722,0.05778375491499901,0.02190766842380055,0.015919333938509226,0.004675164091532808,0.02624997667968273,0.010903836768637376
"30, 30",43,153.31924200057983,2156,0.005302260359749198,11,1,0.0003843128215521574,0.0,0.01960389812134713,0.0,4.918557609780108e-43,0.0,7.013242908797689e-22,0.0,0.02929009683430195,0.0,0.0529153011739254,0.0,0.013066049665212631,0.0,0.021888939663767815,0.0
"30, 30",44,146.0069751739502,2071,0.004839443797245622,3,50,0.015197633010102437,0.00836777474261727,0.11664513671231372,0.039894173653154896,1.7145194996676287e-41,1.8265082014175896e-41,3.538228913687326e-21,2.1508442879537556e-21,0.1395665681362152,0.053528561837695554,0.23147053331136702,0.07534818858049176,0.08067825168371201,0.0674422172856376,0.106550911962986,0.05917138279757813
"30, 30",44,146.0069751739502,2071,0.004839443797245622,4,50,0.012511416277848185,0.007996879168503602,0.10409821300375074,0.040926499084015515,1.5294416036934642e-41,1.8526902544865588e-41,3.288622494476841e-21,2.1164541397714164e-21,0.12339667588472367,0.05095625039036023,0.2076737454533577,0.07384241240436254,0.0633365011960268,0.05619276679155741,0.09917978115379811,0.05641452970879265
"30, 30",44,146.0069751739502,2071,0.004839443797245622,5,50,0.008655376509996131,0.0061197561104645495,0.08535640995749182,0.03700891499577802,7.511688443982469e-42,8.842770977932893e-42,2.298325187775115e-21,1.4931141199590036e-21,0.09864913515746593,0.038807324780123935,0.18274636507034303,0.07656627111364438,0.04065445967018604,0.024509320463871075,0.07254657756537199,0.04217916442516365
"30, 30",44,146.0069751739502,2071,0.004839443797245622,6,50,0.006833975802874192,0.0063260950735612165,0.07224039835623221,0.04019080303013461,6.592016261846091e-42,9.390985549887648e-42,2.0763141422311987e-21,1.5102767443805826e-21,0.08564122933894396,0.0426108944440273,0.15410687886178492,0.08251321842383541,0.038890994973480704,0.022021146501448294,0.06392581507563591,0.04159267664804454
