architecture,seed,training_time_s,epochs_ran,best_val_loss,observed_species_count,repeats,test_mse,test_mse_within_subset_std,test_rmse,test_rmse_within_subset_std,test_mse_unscaled,test_mse_unscaled_within_subset_std,test_rmse_unscaled,test_rmse_unscaled_within_subset_std,mean_rel_error_avg,mean_rel_error_avg_within_subset_std,mean_rel_error_k1,mean_rel_error_k1_within_subset_std,mean_rel_error_k2,mean_rel_error_k2_within_subset_std,mean_rel_error_k3,mean_rel_error_k3_within_subset_std
"30, 30, 30",39,123.30410385131836,1611,0.005928290821611881,7,50,0.005285236134077422,0.005564599990266658,0.06230512863102722,0.03746074052055799,4.802081681425429e-42,7.19791283807431e-42,1.725978423151974e-21,1.3502148585463182e-21,0.07591421153396367,0.04304231787852851,0.1401898231357336,0.08131558625509366,0.03337025191634893,0.016512512766789073,0.0541825564391911,0.044692469688806205
"30, 30, 30",39,123.30410385131836,1611,0.005928290821611881,8,50,0.002729742219671607,0.004594198381209087,0.04150403953757697,0.03173573572071167,3.020246606128565e-42,5.677403714276112e-42,1.3522054633528494e-21,1.0916899701871726e-21,0.05323542661964893,0.03764440201377136,0.09275006473064423,0.07138869285044226,0.022236775290220976,0.008662248513126086,0.044719444196671246,0.03839033169993786
"30, 30, 30",39,123.30410385131836,1611,0.005928290821611881,9,50,0.0012937031808542088,0.0013995069898603666,0.03235169050955049,0.015718501901532157,1.2275094287792533e-42,9.65014277302889e-43,1.0245359483948999e-21,4.2170548873095816e-22,0.04153069611638784,0.016626248805542088,0.07327728636562825,0.038127060887709945,0.017880787160247564,0.006577200967991839,0.03343401717022061,0.01400000327096174
"30, 30, 30",39,123.30410385131836,1611,0.005928290821611881,10,50,0.0008760329568758607,0.0009793390737692872,0.02718412659684428,0.011707101180164287,9.294252194480782e-43,7.889404840425369e-43,8.949527657495284e-22,3.5844771798038817e-22,0.035219855792820456,0.012674060073318425,0.06068524219095707,0.02775652919638606,0.015283739548176528,0.0032195088122206664,0.02969058595597744,0.01224379300000904
"30, 30, 30",39,123.30410385131836,1611,0.005928290821611881,11,1,0.0006022739689797163,0.0,0.024541270728707515,0.0,5.521115949439779e-43,0.0,7.430421219177133e-22,0.0,0.029804198071360588,0.0,0.05357541888952255,0.0,0.0115450918674469,0.0,0.024292077869176865,0.0
"30, 30, 30",40,125.22701025009155,1623,0.006046081087552011,3,50,0.015923593868501486,0.007560012227472695,0.12240897574463422,0.030653491247344723,1.6813171338539167e-41,1.775884475705889e-41,3.500628082887329e-21,2.1351286527607054e-21,0.14985255010426043,0.04984375340104396,0.25512125208973885,0.049618407507953655,0.0871254863590002,0.06855681602483567,0.10731091435998678,0.06361293403407388
"30, 30, 30",40,125.22701025009155,1623,0.006046081087552011,4,50,0.011557105886749923,0.00592000802604888,0.10245075530117814,0.03257220632637651,1.2581614313878944e-41,1.0498773768758196e-41,3.1647500632096316e-21,1.6018649603801122e-21,0.12134502097964286,0.03833370025037032,0.22190211310982705,0.06699782693265942,0.04420028192922473,0.026922759807275716,0.09793266836553811,0.046503122533934
"30, 30, 30",40,125.22701025009155,1623,0.006046081087552011,5,50,0.0073519381927326325,0.005612741863222404,0.07834491732733224,0.03484267672992573,5.6250922954926804e-42,7.516082173165944e-42,2.007193096717337e-21,1.2634350667853685e-21,0.0928838411718607,0.03952947318335979,0.1774369564652443,0.07829015199485491,0.03785009229555726,0.02443188695168375,0.063364473618567,0.038001250494439365
"30, 30, 30",40,125.22701025009155,1623,0.006046081087552011,6,50,0.006360786221921444,0.005262400646710452,0.072509676415517,0.03321344679551434,5.185645097080418e-42,6.484252657492188e-42,1.967513695474762e-21,1.1465317070188962e-21,0.0879075375199318,0.03714729050825175,0.16331601791083813,0.07473083905037778,0.03670498928055167,0.02133682447963884,0.06370160575956106,0.03533125709494287
"30, 30, 30",40,125.22701025009155,1623,0.006046081087552011,7,50,0.004493939378298819,0.005203121794205721,0.05765302624714644,0.034206255902168886,4.549399542338378e-42,6.579973746736185e-42,1.773296949933531e-21,1.1852499608499534e-21,0.071140381321311,0.040478882018148594,0.12863705143332482,0.07795398038655192,0.02809635472483933,0.014825397095898885,0.056687738485634326,0.03773412809692828
